Visible or Deactivate (Hidden)?,Column1,Level Nothing ,Level 1,Level 1 Name,Level 2,Level 2 Name,Clarifications / Additional notes on coverage,Level 3 Code,Level 3 Name
Hidden,383,Environment,430,Other Multisector,43041,Rural land policy and management,"Regional development planning; promotion of decentralised and multi-sectoral competence for planning, co-ordination and management; land management; land use planning; geographical information systems.",0,Unspecified
hidden,386,Economic Growth,430,Business & Other Services,43050,Non-agricultural alternative development,"Projects to reduce illicit drug cultivation through, for example, non-agricultural income opportunities, social and physical infrastructure (see code 31165 for agricultural alternative development).",0,Unspecified
hidden,387,Economic Growth,430,Business & Other Services,43081,Multisector education/training,Including scholarships.,0,Unspecified
Hidden,388,Economic Growth,430,Business & Other Services,43082,Research/scientific institutions,When sector cannot be identified.,0,Unspecified
Hidden,389,Governance,510,General Budget Support,51000,General Budget Support,,0,Unspecified
Hidden,390,Governance,510,General Budget Support,51010,General budget support-related aid,"Unearmarked contributions to the government budget; support for the implementation of macroeconomic reforms (structural adjustment programmes, poverty reduction strategies); general programme assistance (when not allocable by sector).",0,Unspecified
,392,Social Services,520,Developmental Food Aid/Food Security Assistance,52010,Food aid/Food security programmes,Supply of edible human food under national or international programmes including transport costs; cash payments made for food supplies; project food aid and food aid for market sales when benefiting sector not specified; excluding emergency food aid. Report as multilateral: i) food aid by the EU financed out of its budget and allocated pro rata to EU member countries; and ii) core contributions to the World Food Programme. ,5201001,"Food Access – Strategic Food Reserves, Food For Peace, Food For Work, Purchase for Progress (P4P), Conditional Cash Transfers, Vouchers"
Hidden,393,Social Services,530,Other Commodity Assistance,53030,Import support (capital goods),Capital goods and services; lines of credit.,0,Unspecified
Hidden,394,Social Services,530,Other Commodity Assistance,53040,Import support (commodities),"Commodities, general goods and services, oil imports.",0,Unspecified
Hidden,395,Economic Growth,600,Action Relating to Debt,60010,Action relating to debt,Actions falling outside the code headings below.,0,Unspecified
Hidden,396,Economic Growth,600,Action Relating to Debt,60020,Debt forgiveness,,0,Unspecified
Hidden,397,Economic Growth,600,Action Relating to Debt,60030,Relief of multilateral debt,Grants or credits to cover debt owed to multilateral financial institutions; including contributions to Heavily Indebted Poor Countries (HIPC) Trust Fund.,0,Unspecified
Hidden,398,Economic Growth,600,Action Relating to Debt,60040,Rescheduling and refinancing,,0,Unspecified
Hidden,399,Economic Growth,600,Action Relating to Debt,60061,Debt for development swap,"Allocation of debt claims to use for development (e.g., debt for education, debt for environment).",0,Unspecified
Hidden,400,Economic Growth,600,Action Relating to Debt,60062,Other debt swap,Where the debt swap benefits an external agent i.e. is not specifically for development purposes.,0,Unspecified
Hidden,401,Economic Growth,600,Action Relating to Debt,60063,Debt buy-back,Purchase of debt for the purpose of cancellation.,0,Unspecified
,402,Disaster Prevention & Response,720,Emergency Response,72010,Material relief assistance and services ,"Shelter, water, sanitation and health services, supply of medicines and other non-food relief items for the benefit of affected people and to facilitate the return to normal lives and livelihoods; assistance to refugees and  internally displaced people in developing countries other than for food (72040) or protection (72050). ",0,Unspecified
,403,Disaster Prevention & Response,720,Emergency Response,72040,Emergency food aid,Food aid normally for general free distribution or special supplementary feeding programmes; short-term relief to targeted population groups affected by emergency situations.  Excludes non-emergency food security assistance programmes/food aid (52010).,0,Unspecified
,404,Disaster Prevention & Response,720,Emergency Response,72050,Relief co-ordination; protection and support services,"Measures to co-ordinate delivery of humanitarian aid, including logistics and communications systems; measures to promote and protect the safety, well-being, dignity and integrity of civilians and those no longer taking part in hostilities. (Activities designed to protect the security of persons or property through the use or display of force are not reportable as ODA.)",0,Unspecified
,405,Disaster Prevention & Response,730,Reconstruction Relief & Rehabilitation,73010,Reconstruction relief and rehabilitation,"Short-term reconstruction work after emergency or conflict limited to restoring pre-existing infrastructure (e.g. repair or construction of roads, bridges and ports, restoration of essential facilities, such as water and sanitation, shelter, health care services); social and economic rehabilitation in the aftermath of emergencies to facilitate transition and enable populations to return to their previous livelihood or develop a new livelihood in the wake of an emergency situation (e.g. trauma counselling and treatment, employment programmes). ",0,Unspecified
,406,Disaster Prevention & Response,740,Disaster Prevention & Preparedness,74010,Disaster prevention and preparedness,"Disaster risk reduction activities (e.g. developing knowledge, natural risks cartography, legal norms for construction); early warning systems; emergency contingency stocks and contingency planning including preparations for forced displacement. ",7401001,Early warning
,407,Disaster Prevention & Response,740,Disaster Prevention & Preparedness,74010,Disaster prevention and preparedness,"Disaster risk reduction activities (e.g. developing knowledge, natural risks cartography, legal norms for construction); early warning systems; emergency contingency stocks and contingency planning including preparations for forced displacement. ",7401002,Climate change adaptation
,408,Disaster Prevention & Response,740,Disaster Prevention & Preparedness,74010,Disaster prevention and preparedness,"Disaster risk reduction activities (e.g. developing knowledge, natural risks cartography, legal norms for construction); early warning systems; emergency contingency stocks and contingency planning including preparations for forced displacement. ",7401003,Vulnerability assessment
,409,Disaster Prevention & Response,740,Disaster Prevention & Preparedness,74010,Disaster prevention and preparedness,"Disaster risk reduction activities (e.g. developing knowledge, natural risks cartography, legal norms for construction); early warning systems; emergency contingency stocks and contingency planning including preparations for forced displacement. ",7401004,Resilience
,410,Disaster Prevention & Response,740,Disaster Prevention & Preparedness,74010,Disaster prevention and preparedness,"Disaster risk reduction activities (e.g. developing knowledge, natural risks cartography, legal norms for construction); early warning systems; emergency contingency stocks and contingency planning including preparations for forced displacement. ",7401005,Climate Services
,411,Disaster Prevention & Response,740,Disaster Prevention & Preparedness,74020,Multi-hazard response preparedness,,0,Unspecified
Hidden,412,Unallocated / Unspecified,910,Administrative Costs of Donors,91000,Administrative Costs of Donors,,0,Unspecified
Hidden,413,Unallocated / Unspecified,910,Administrative Costs of Donors,91010,Administrative costs (non-sector allocable),,0,Unspecified
Hidden,415,Social Services,930,Refugees in Donor Countries,93010,Refugees in donor countries (non-sector allocable),,0,Unspecified
Hidden,416,Social Services,930,Refugees in Donor Countries,93011,Refugees/asylum seekers in donor countries - food and shelter ,"""Costs incurred in donor countries for basic assistance to asylum seekers and refugees from developing countries, up to 12 months – food and shelter: - Food and other essential temporary sustenance provisions such as clothing. - Temporary accommodation facilities (e.g. reception centres, containers, tent camps). In respect of buildings, only the costs of maintenance and upkeep may be reported as ODA. The cost of renting temporary accommodation facilities is eligible. (All construction costs are excluded). """,0,Unspecified
Hidden,417,Social Services,930,Refugees in Donor Countries,93012,Refugees/asylum seekers in donor countries - training,"Costs incurred in donor countries for basic assistance to asylum seekers and refugees from developing countries, up to 12 months – training: - Early childhood education, primary and secondary education for children (this includes school costs but excludes vocational training), as part of temporary sustenance. - Language training and other ad-hoc basic training for refugees e.g. basic life skills for youth and adults (literacy and numeracy training). ",0,Unspecified
Hidden,418,Social Services,930,Refugees in Donor Countries,93013,Refugees/asylum seekers in donor countries - health,"Costs incurred in donor countries for basic assistance to asylum seekers and refugees from developing countries, up to 12 months: basic health care and psycho-social support for persons with specific needs e.g. unaccompanied minors, persons with disabilities, survivors of violence and torture.",0,Unspecified
Hidden,419,Social Services,930,Refugees in Donor Countries,93014,Refugees/asylum seekers in donor countries - other temporary sustenance,"Costs incurred in donor countries for basic assistance to asylum seekers and refugees from developing countries, up to 12 months: temporary sustenance other than food and shelter (code 93011), training (93012) and health (93013), i.e.  cash “pocket money” to cover subsistence costs and assistance in the asylum procedure: translation of documents, legal and administrative counselling, interpretation services.",0,Unspecified
Hidden,420,Social Services,930,Refugees in Donor Countries,93015,Refugees/asylum seekers in donor countries - voluntary repatriation,"Costs incurred in donor countries for basic assistance to asylum seekers and refugees from developing countries, up to 12 months: voluntary repatriation of refugees to a developing country during first twelve months.",0,Unspecified
Hidden,421,Social Services,930,Refugees in Donor Countries,93016,Refugees/asylum seekers in donor countries - transport,"Costs incurred in donor countries for basic assistance to asylum seekers and refugees from developing countries, up to 12 months: transport to the host country in the case of resettlement programmes and transport within the host country.",0,Unspecified
Hidden,422,Social Services,930,Refugees in Donor Countries,93017,Refugees/asylum seekers in donor countries - rescue at sea,"Costs incurred in donor countries for basic assistance to asylum seekers and refugees from developing countries, up to 12 months: rescue of refugees at sea when it is the main purpose of the operation. Only the additional costs related to the operation may be counted.",0,Unspecified
Hidden,423,Social Services,930,Refugees in Donor Countries,93018,Refugees/asylum seekers in donor countries - administrative costs,"Costs incurred in donor countries for basic assistance to asylum seekers and refugees from developing countries, up to 12 months: administrative costs. Only overhead costs attached to the direct provision of temporary sustenance to refugees are eligible. This includes costs of personnel assigned to provide eligible services to refugees, but does not include costs of personnel who are not involved in the direct execution of these services, e.g. management, human resources, information technology.",0,Unspecified
Hidden,424,Unallocated / Unspecified,998,Unallocated / Unspecified,99800,Unallocated / Unspecified,Contributions to general development of the recipient should be included under programme assistance (51010).,0,Unspecified
Hidden,425,Unallocated / Unspecified,998,Unallocated / Unspecified,99810,Sectors not specified,Contributions to general development of the recipient should be included under programme assistance (51010).,0,Unspecified
Hidden,426,Unallocated / Unspecified,998,Unallocated / Unspecified,99820,Promotion of development awareness (non-sector allocable),"Spending in donor country for heightened awareness/interest in development co-operation (brochures, lectures, special research projects, etc.).",0,Unspecified
,,Education,112,Education,11250,School feeding,,0,Unspecified
,,Governance,151,Government & Civil Society,15142,Macroeconomic policy,,0,Unspecified
,,Environment,430,Other Multisector,43042,Rural development,,0,Unspecified
,,Environment,430,Other Multisector,43060,Disaster Risk Reduction,,0,Unspecified
,,Environment,430,Other Multisector,43071,Food security policy and administrative management,,0,Unspecified
,,Environment,430,Other Multisector,43072,Household food security programmes,,0,Unspecified
,,Environment,430,Other Multisector,43073,Food safety and quality,,0,Unspecified
,,Economic Growth,250,Business & Other Services,25030,Business development services,,0,Unspecified
,,Economic Growth,250,Business & Other Services,25040,Responsible Business Conduct,,0,Unspecified
,,Information and communication technology (ICT),220,Communications,22011,"Communications policy, planning and administration",,0,Unspecified
,,Social Services,160,Other Social Infrastructure & Services,16070,Labour Rights,,0,Unspecified
,,Social Services,160,Other Social Infrastructure & Services,16080,Social Dialogue,,0,Unspecified
